International Identification Group,-,-,,"Pasadena, Maryland
",NetAdvantage
Jolly Technologies Inc.,2000,www.jollytech.com,650-594-5955,"195 Glenn Way
Suite 200 
San Carlos, California    94070
",NetAdvantage
"K&A Industries, Inc.",1991,www.kaindustries.com,908-226-7000,"51 Cragwood Road
Suite 204 
South Plainfield, New Jersey    07080
",NetAdvantage
Kastle Systems International LLC,1972,www.kastle.com,703-528-8800,"6402 Arlington Boulevard 
Falls Church, Virginia    22042
",NetAdvantage
"L Q Corporation, Inc.",1996,-,212-974-5730,"888 Seventh Avenue
17th Floor 
New York, New York    10019
",NetAdvantage
"Laminex, Inc.",1945,www.laminex.com,704-679-4170,"4211 Pleasant Road 
Fort Mill, South Carolina    29708
",NetAdvantage
"Legend Data Systems, Inc.",1989,www.legendid.com,425-251-1670,"18024 72nd Avenue South 
Kent, Washington    98032
",NetAdvantage
"Lenel Systems International, Inc.",1990,www.lenel.com,585-248-9720,"1212 Pittsford-Victor Road 
Pittsford, New York    14534
",NetAdvantage
Linstar Inc,1998,www.linstar.com,716-631-9200,"430 Lawrence Bell Drive
Suite 1 
Buffalo, New York    14221
",NetAdvantage
"Lobbyguard Solutions, LLC",2005,www.lobbyguard.com,919-785-3301,"4700 Six Forks Road
Suite 300 
Raleigh, North Carolina    27609
",NetAdvantage
Matrix Systems Inc.,1977,www.matrixsys.com,937-438-9033,"1041 Byers Road 
Miamisburg, Ohio    45342
",NetAdvantage
MidCo Inc.,1960,www.midcosystems.com,630-887-1800,"221 Shore Court 
Burr Ridge, Illinois    60527
",NetAdvantage
"Millennium Communications Group, Inc.",1995,www.millenniuminc.com,973-503-1313,"11 Melanie Lane
Unit 13 
East Hanover, New Jersey    07936
",NetAdvantage
"MSA Security, Inc.",1987,www.msasecurity.net,212-509-1336,"9 Murray Street
2nd Floor 
New York, New York    10007
",NetAdvantage
"MSA Systems Integration, Inc.",2000,www.msasi.net,732-544-8444,"1 Industrial Way West
Building D
Suite C 
Eatontown, New Jersey    07724
",NetAdvantage
MyBuilding Inc.,2004,www.mybuilding.org,212-595-3075,"130 West 25th Street
Suite 4C 
New York, New York    10001
",NetAdvantage
"New Era Technology, Inc.",2013,neweratech.com,877-696-7700,"208 Carter Drive
Suite 7 
West Chester, Pennsylvania    19382
",NetAdvantage
"Nexus Technologies Group, Inc.",2003,-,914-741-0055,"7 West Cross Street 
Hawthorne, New York    10532
",NetAdvantage
"OLTIS Security Systems International, LLC",2008,www.ossi-usa.com,414-423-2930,"W228 N727 Westmound Drive 
Waukesha, Wisconsin    53187
",NetAdvantage
"pc/nametag, Inc",1980,www.pcnametag.com,608-845-1850,"124 Horizon Drive 
Verona, Wisconsin    53593
",NetAdvantage
"Pinkerton Government Services, Inc.",1850,www.pgs-usa.com,703-750-9713,"6850 Versar Center
North Area Office
Suite 301 
Springfield, Virginia    22151
",NetAdvantage
"Plasco, Inc.",1983,www.plascoid.com,305-625-4222,"1501 N.W. 163rd Street 
Miami, Florida    33169
",NetAdvantage
Plastic Card Solutions Inc.,1999,www.pcs-i.com,630-848-0200,"1280 Iroquois Avenue
Suite 408 
Naperville, Illinois    60563
",NetAdvantage
"ProTech Security, Inc.",1981,protechsecurity.com,888-268-3099,"7026 Sunset Strip Avenue NW
Suite A 
North Canton, Ohio    44720
",NetAdvantage
"Raptor Technologies, Inc.",2003,www.raptorware.com,713-880-8902,"631 West 22nd Street 
Houston, Texas    77008
",NetAdvantage
"Rockwest Technology Group, Inc.",1999,www.multicard.com,323-256-8700,"3370 North San Fernando Road
Suite 202 
Los Angeles, California    90065
",NetAdvantage
"S3 Integration, L.L.C.",2005,www.s3integration.com,410-536-1999,"1530 Caton Center Drive
Suite N 
Baltimore, Maryland    21227
",NetAdvantage
Safe Hiring Solutions LLC,2004,www.safehiringsolutions.com,317-745-6946,"64 East Marion Street 
Danville, Indiana    46122
",NetAdvantage
Sequr .Inc,2014,sequr.io,855-466-3557,"3423 Piedmont Road NE
Suite 517 
Atlanta, Georgia    30305
",NetAdvantage
SETRACON Enterprise Security Risk Management Services,2000,www.setracon.com,253-538-9848,"9101 24th Avenue East 
Tacoma, Washington    98445
",NetAdvantage
"Sielox, LLC",1979,www.sielox.com,856-939-9300,"170 East Ninth Avenue 
Runnemede, New Jersey    08078
",NetAdvantage
"Skidata, Inc",2000,www.skidatausa.com,908-243-0000,"One Harvard Way
Suite 5 
Hillsborough, New Jersey    08844
",NetAdvantage
Software Data Systems Inc.,1974,-,601-353-9318,"931 Highway 80 West 
Jackson, Mississippi    39204-3912
",NetAdvantage
"Spectrum Communications Cabling Services, Inc.",1985,www.spectrumccsi.com,951-371-0549,"226 North Lincoln Avenue 
Corona, California    92882
",NetAdvantage
"STOPware, Inc.",1997,www.stopware.com,408-367-0220,"1710 Zanker Road
Suite 100 
San Jose, California    95112
",NetAdvantage
"Sullivan & McLaughlin Companies, Inc.",1966,www.sullymac.com,617-474-0500,"74 Lawley Street 
Boston, Massachusetts    02122
",NetAdvantage
"Teem, LLC",2010,www.teem.com,415-423-2373,"224 South 200 West
Suite 100 
Salt Lake City, Utah    84101
",NetAdvantage
"TransTech Systems, Inc.",1994,www.ttsys.com,503-682-3292,"12142 NE Sky Lane
Suite 130 
Aurora, Oregon    97002
",NetAdvantage
Tyco Integrated Security LLC,1874,www.tycois.com,561-988-7200,"1501 Yamato Road 
Boca Raton, Florida    33431
",NetAdvantage
Unisource Document Products Inc.,1988,www.udpcorp.com,913-599-0299,"8551 Quivira Road 
Lenexa, Kansas    66215
",NetAdvantage
"Universal Protection Security Systems, Inc.",1965,www.universalpro.com,714-619-9700,"1551 North Tustin Avenue
Suite 650 
Santa Ana, California    92705
",NetAdvantage
Symplr,2006,www.symplr.com,281-863-9500,"616 Cypress Creek Parkway
Suite 800 
Houston, Texas    77090
",NetAdvantage
Viscom Systems INC,1986,www.viscomsystems.com,617-864-3676,"98 Galen Street 
Watertown, Massachusetts    02472
",NetAdvantage
"Vision Technologies, Inc.",2000,www.visiontechnologiesinc.net,410-424-2183,"530 McCormick Drive
Suite G 
Glen Burnie, Maryland    21061
",NetAdvantage
"Workspeed Management, LLC",1999,-,917-369-9025,"317 Madison Avenue
Suite 1614 
New York, New York    10017
",NetAdvantage
"Xentry Systems Integration, LLC",2014,xentrysi.com,937-247-2805,"1041 Byers Road 
Miamisburg, Ohio    45342
",NetAdvantage
Data Management,,www.visitorpasssolutions.com,,,Crawler
Association Voice,,www.associationvoice.com,,,Crawler
The Receptionist ,,thereceptionist.com,,,Crawler
Acuant,,www.acuantcorp.com,,,Crawler
Envoy,,envoy.com,,,Crawler
OCR Services,,www2.ocr-inc.com,,,Crawler
iLobby ,,goilobby.com,,,Crawler
Visitor Management Singapore,,vmssingapore.com,,,Crawler
Traction Guest,,tractionguest.com,,,Crawler
Spectra Technovision,,www.spectra-vision.com,,,Crawler
East Coast Solutions,,www.eastcoast.se,,,Crawler
All About Cards,,www.allaboutcards.de,,,Crawler
Paclin,,www.paclin.com.sg,,,Crawler
Veris,,www.getveris.com,,,Crawler
Konica Minolta,,kmbs.konicaminolta.us,,,Crawler
CardExchange Solutions,,cardexchangesolutions.com,,,Crawler
Vuetura,,vuetura.com,,,Crawler
Safeware,,www.safeware.eu,,,Crawler
MyLobby,,www.my-lobby.com,,,Crawler
Proxyclick,,www.proxyclick.com,,,Crawler
Tereotech,,tereotech.com,,,Crawler
,,www.wallethr.in,,,Crawler
Ban-Koe,,www.bankoe.com,,,Crawler
Eva ,,www.evareceptionist.com,,,Crawler
LobbyGuard,,lobbyguard.com,,,Crawler
iOffice,,www.iofficecorp.com,,,Crawler
SwipedOn,,www.swipedon.com,,,Crawler
Matrix,,www.matrixaccesscontrol.com,,,Crawler
Software House,,www.swhouse.com,,,Crawler
Teem,,teem.com,,,Crawler
Raptor Technologies,,raptortech.com,,,Crawler
ColorID,,www.colorid.com,,,Crawler
Teamgo,,teamgo.co,,,Crawler
MRI Software,,www.mrisoftware.com,,,Crawler
Passtab,,passtab.com,,,Crawler
WhosOnLocation,,whosonlocation.com,,,Crawler
Hamilton Apps,,hamiltonapps.com,,,Crawler
TDS,,www.timedatasecurity.com,,,Crawler
Greetly,,www.greetly.com,,,Crawler
Stopware,,stopware.com,,,Crawler
Intergrated ID Systems,,www.integratedid.com,,,Crawler
ID Wholesaler,,www.idwholesaler.com,,,Crawler
M2SYS,,www.m2sys.com,,,Crawler
ACT Cloud,,actcloud.net,,,Crawler
Quantum Secure,,www.txsystems.com,,,Crawler
PSI International,,www.psiint.com,,,Crawler
Empressem Technologies,,www.empressem.net,,,Crawler
Pronestor,,www.pronestor.com,,,Crawler
Skidala,,www.skidata.com,,,Crawler
Fischer & Kerrn,,fischerkerrn.com,,,Crawler
Ident-A-Kid,,visitormanagement.identakid.com,,,Crawler
Evolis,,www.evolis.com,,,Crawler
SafeVisitor,,www.safevisitorsolutions.com,,,Crawler
Higgins,,www.higgins3.com,,,Crawler
Strategic Security Solutions,,www.s3nc.com,,,Crawler
Securitas,,www.securitas.ca,,,Crawler
